Date,Price,Open,High,Low,Vol.,Change %,Volume,Ticker,SMA10,EMA5,EMA10,Signal,Crossover,Return,Volatility
2026-03-30,2055.2,2064.0,2082.4,2046.2,2.48M,-0.93%,2480000.0,HLL,,2055.2,2055.2,0,,,
2026-04-01,2064.7,2119.9,2119.9,2052.0,2.03M,0.46%,2029999.9999999998,HLL,,2060.8999999999996,2060.4249999999997,1,1.0,0.004622421175554781,
2026-04-02,2065.3,2055.0,2069.9,2022.5,1.43M,0.03%,1430000.0,HLL,,2062.9842105263156,2062.3847176079735,1,0.0,0.00029059911851625486,
2026-04-06,2084.8,2065.3,2092.8,2041.9,1.66M,0.94%,1660000.0,HLL,,2072.0461538461536,2069.769554455446,1,0.0,0.00944172759405415,
2026-04-07,2110.6,2064.7,2119.5,2050.8,2.71M,1.24%,2710000.0,HLL,,2086.84644549763,2081.4908648850023,1,0.0,0.01237528779739061,
2026-04-08,2145.6,2130.0,2192.8,2130.0,3.79M,1.66%,3790000.0,HLL,,2108.315789473684,2098.142221720479,1,0.0,0.016582962190846207,
2026-04-09,2133.2,2145.5,2162.9,2115.0,2.51M,-0.58%,2510000.0,HLL,,2117.126177756192,2106.589737981021,1,0.0,-0.005779269202088044,
2026-04-10,2155.3,2133.2,2170.0,2121.4,2.14M,1.04%,2140000.0,HLL,,2130.3674385408403,2117.67155733837,1,0.0,0.01036002250140644,
2026-04-13,2127.2,2131.0,2140.7,2113.5,1.99M,-1.30%,1990000.0,HLL,,2129.283428094518,2119.744613020673,1,0.0,-0.013037628172412385,
2026-04-15,2157.6,2140.9,2168.0,2140.9,1.55M,1.43%,1550000.0,HLL,2109.95,2138.888858250754,2127.6963704337923,1,0.0,0.014291086874764991,
2026-04-16,2139.1,2158.0,2163.7,2129.1,1.85M,-0.86%,1850000.0,HLL,2118.3399999999997,2138.9600620220563,2130.025989386656,1,0.0,-0.00857434186132744,0.010341869248793826
2026-04-17,2240.8,2142.0,2245.0,2133.0,4.88M,4.75%,4880000.0,HLL,2135.95,2173.1703787842875,2152.1584339682636,1,0.0,0.04754335935673892,0.017221068401496363
2026-04-20,2231.5,2240.8,2253.4,2223.2,1.46M,-0.42%,1460000.0,HLL,2152.5699999999997,2192.714005526656,2167.7307437082973,1,0.0,-0.00415030346304901,0.017506864537193374
2026-04-21,2310.7,2238.7,2335.7,2227.2,3.22M,3.55%,3220000.0,HLL,2175.16,2232.1778532639196,2195.3914852694184,1,0.0,0.0354918216446336,0.01957665299439666
2026-04-22,2368.8,2310.4,2408.0,2310.4,5.56M,2.51%,5560000.0,HLL,2200.9800000000005,2277.8228063167035,2228.554887095046,1,0.0,0.02514389578915499,0.02012065908837779
2026-04-23,2366.4,2336.0,2400.0,2336.0,2.06M,-0.10%,2060000.0,HLL,2223.06,2307.3935572041582,2254.670815008607,1,0.0,-0.0010131712259372483,0.020421814831173033
2026-04-24,2327.3,2388.6,2388.6,2299.0,1.68M,-1.65%,1680000.0,HLL,2242.4700000000003,2314.0357797211364,2268.326696002158,1,0.0,-0.01652298850574707,0.021594720138016936
2026-04-27,2328.3,2334.9,2362.8,2325.0,1.10M,0.04%,1100000.0,HLL,2259.77,2318.7937392373656,2279.533469346938,1,0.0,0.0004296824646585762,0.0217505989347222
2026-04-28,2289.5,2321.0,2334.4,2281.1,1.63M,-1.67%,1630000.0,HLL,2276.0,2309.024752770265,2281.386494532411,1,0.0,-0.016664519177082115,0.02216591260135908
2026-04-29,2317.1,2305.0,2349.6,2291.0,1.78M,1.21%,1780000.0,HLL,2291.95,2311.7173115764444,2287.9993642666477,1,0.0,0.012055033850185692,0.022102072373195225
2026-03-30,2358.9,2375.1,2398.0,2346.2,6.80M,-1.29%,6800000.0,TCS,,2358.9,2358.9,0,,,
2026-04-01,2408.2,2429.0,2472.0,2397.9,4.13M,2.09%,4130000.0,TCS,,2388.48,2386.0150000000003,1,1.0,0.020899571834329445,
2026-04-02,2450.7,2386.0,2469.9,2375.7,5.38M,1.76%,5380000.0,TCS,,2417.952631578947,2412.0179401993355,1,0.0,0.01764803587741892,
2026-04-06,2473.9,2474.0,2482.0,2448.2,2.57M,0.95%,2570000.0,TCS,,2441.1923076923076,2432.4053217821784,1,0.0,0.009466682988533925,
2026-04-07,2539.8,2461.0,2543.9,2448.0,4.52M,2.66%,4520000.0,TCS,,2479.0464454976304,2463.2354130311173,1,0.0,0.0266381017826105,
2026-04-08,2559.2,2572.0,2580.3,2540.1,4.77M,0.76%,4770000.0,TCS,,2508.3356390977447,2488.160731058285,1,0.0,0.007638396724151342,
2026-04-09,2589.0,2554.0,2605.0,2531.1,5.63M,1.16%,5630000.0,TCS,,2536.895288975231,2512.458944062385,1,0.0,0.011644263832447654,
2026-04-10,2524.3,2565.8,2565.8,2501.1,10.48M,-2.50%,10480000.0,TCS,,2532.5263917525776,2515.152841353469,1,0.0,-0.02499034376207021,
2026-04-13,2472.6,2489.9,2504.9,2470.0,3.74M,-2.05%,3740000.0,TCS,,2512.017443012884,2505.8948321804496,1,0.0,-0.020480925405062855,
2026-04-15,2554.9,2501.9,2559.0,2493.4,5.26M,3.33%,5260000.0,TCS,2493.15,2526.563886255924,2516.188669797354,1,0.0,0.03328480142360268,
2026-04-16,2576.9,2572.0,2594.0,2558.0,3.91M,0.86%,3910000.0,TCS,2514.95,2543.538838599878,2528.5912355482405,1,0.0,0.008610904536381137,0.01871099896540847
2026-04-17,2581.5,2570.0,2589.0,2555.9,2.72M,0.18%,2720000.0,TCS,2532.28,2556.2908431861497,2539.162309851917,1,0.0,0.001785090612751672,0.01833698873034264
2026-04-20,2579.6,2587.1,2594.0,2561.2,2.29M,-0.07%,2290000.0,TCS,2545.17,2564.100690926538,2547.098985010378,1,0.0,-0.0007360061979470034,0.018084529554758203
2026-04-21,2610.5,2560.0,2614.0,2560.0,2.72M,1.20%,2720000.0,TCS,2558.83,2579.6202894734915,2559.3653920396105,1,0.0,0.011978601333540118,0.018166309557231957
2026-04-22,2538.5,2580.0,2580.0,2503.6,5.23M,-2.76%,5230000.0,TCS,2558.7,2565.8821531070635,2555.3750033234974,1,0.0,-0.02758092319479022,0.019228839980003062
2026-04-23,2521.8,2529.0,2559.5,2516.3,2.51M,-0.66%,2510000.0,TCS,2554.96,2551.165697167261,2549.0139336561338,1,0.0,-0.0065786882016938275,0.019136169857095504
2026-04-24,2396.9,2488.0,2505.0,2388.8,5.11M,-4.95%,5110000.0,TCS,2535.75,2499.6915539549072,2520.4131752183894,0,-1.0,-0.04952811483860742,0.023756062500346096
2026-04-27,2447.6,2396.9,2459.0,2396.9,5.85M,2.12%,5850000.0,TCS,2528.08,2482.3159456139324,2506.8071089056903,0,0.0,0.021152321748925562,0.024436378054294543
2026-04-28,2444.7,2444.0,2487.0,2427.4,4.51M,-0.12%,4510000.0,TCS,2525.29,2469.771638426922,2495.2598573087894,0,0.0,-0.0011848341232227888,0.023634596920141904
2026-04-29,2465.0,2451.0,2487.5,2447.6,2.84M,0.83%,2840000.0,TCS,2516.3,2468.1806138179163,2489.6568090518426,0,0.0,0.008303677342823335,0.020768736962020463
2026-03-30,1343.9,1335.0,1365.0,1334.1,24.39M,-0.31%,24390000.0,RELIANCE,,1343.9,1343.9,0,,,
2026-04-01,1369.2,1384.2,1384.4,1362.9,14.40M,1.88%,14400000.0,RELIANCE,,1359.0800000000002,1357.8149999999998,1,1.0,0.018825805491480052,
2026-04-02,1350.5,1357.0,1358.2,1328.0,21.28M,-1.37%,21280000.0,RELIANCE,,1355.0157894736842,1354.874418604651,1,0.0,-0.013657610283377197,
