Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker
2026-03-30,2055.2,2064.0,2082.4,2046.2,2.48M,-0.93%,2480000.0,-0.93,HLL
2026-04-01,2064.7,2119.9,2119.9,2052.0,2.03M,0.46%,2029999.9999999998,0.46,HLL
2026-04-02,2065.3,2055.0,2069.9,2022.5,1.43M,0.03%,1430000.0,0.03,HLL
2026-04-06,2084.8,2065.3,2092.8,2041.9,1.66M,0.94%,1660000.0,0.94,HLL
2026-04-07,2110.6,2064.7,2119.5,2050.8,2.71M,1.24%,2710000.0,1.24,HLL
2026-04-08,2145.6,2130.0,2192.8,2130.0,3.79M,1.66%,3790000.0,1.66,HLL
2026-04-09,2133.2,2145.5,2162.9,2115.0,2.51M,-0.58%,2510000.0,-0.58,HLL
2026-04-10,2155.3,2133.2,2170.0,2121.4,2.14M,1.04%,2140000.0,1.04,HLL
2026-04-13,2127.2,2131.0,2140.7,2113.5,1.99M,-1.30%,1990000.0,-1.3,HLL
2026-04-15,2157.6,2140.9,2168.0,2140.9,1.55M,1.43%,1550000.0,1.43,HLL
2026-04-16,2139.1,2158.0,2163.7,2129.1,1.85M,-0.86%,1850000.0,-0.86,HLL
2026-04-17,2240.8,2142.0,2245.0,2133.0,4.88M,4.75%,4880000.0,4.75,HLL
2026-04-20,2231.5,2240.8,2253.4,2223.2,1.46M,-0.42%,1460000.0,-0.42,HLL
2026-04-21,2310.7,2238.7,2335.7,2227.2,3.22M,3.55%,3220000.0,3.55,HLL
2026-04-22,2368.8,2310.4,2408.0,2310.4,5.56M,2.51%,5560000.0,2.51,HLL
2026-04-23,2366.4,2336.0,2400.0,2336.0,2.06M,-0.10%,2060000.0,-0.1,HLL
2026-04-24,2327.3,2388.6,2388.6,2299.0,1.68M,-1.65%,1680000.0,-1.65,HLL
2026-04-27,2328.3,2334.9,2362.8,2325.0,1.10M,0.04%,1100000.0,0.04,HLL
2026-04-28,2289.5,2321.0,2334.4,2281.1,1.63M,-1.67%,1630000.0,-1.67,HLL
2026-04-29,2317.1,2305.0,2349.6,2291.0,1.78M,1.21%,1780000.0,1.21,HLL
2026-03-30,2358.9,2375.1,2398.0,2346.2,6.80M,-1.29%,6800000.0,-1.29,TCS
2026-04-01,2408.2,2429.0,2472.0,2397.9,4.13M,2.09%,4130000.0,2.09,TCS
2026-04-02,2450.7,2386.0,2469.9,2375.7,5.38M,1.76%,5380000.0,1.76,TCS
2026-04-06,2473.9,2474.0,2482.0,2448.2,2.57M,0.95%,2570000.0,0.95,TCS
2026-04-07,2539.8,2461.0,2543.9,2448.0,4.52M,2.66%,4520000.0,2.66,TCS
2026-04-08,2559.2,2572.0,2580.3,2540.1,4.77M,0.76%,4770000.0,0.76,TCS
2026-04-09,2589.0,2554.0,2605.0,2531.1,5.63M,1.16%,5630000.0,1.16,TCS
2026-04-10,2524.3,2565.8,2565.8,2501.1,10.48M,-2.50%,10480000.0,-2.5,TCS
2026-04-13,2472.6,2489.9,2504.9,2470.0,3.74M,-2.05%,3740000.0,-2.05,TCS
2026-04-15,2554.9,2501.9,2559.0,2493.4,5.26M,3.33%,5260000.0,3.33,TCS
2026-04-16,2576.9,2572.0,2594.0,2558.0,3.91M,0.86%,3910000.0,0.86,TCS
2026-04-17,2581.5,2570.0,2589.0,2555.9,2.72M,0.18%,2720000.0,0.18,TCS
2026-04-20,2579.6,2587.1,2594.0,2561.2,2.29M,-0.07%,2290000.0,-0.07,TCS
2026-04-21,2610.5,2560.0,2614.0,2560.0,2.72M,1.20%,2720000.0,1.2,TCS
2026-04-22,2538.5,2580.0,2580.0,2503.6,5.23M,-2.76%,5230000.0,-2.76,TCS
2026-04-23,2521.8,2529.0,2559.5,2516.3,2.51M,-0.66%,2510000.0,-0.66,TCS
2026-04-24,2396.9,2488.0,2505.0,2388.8,5.11M,-4.95%,5110000.0,-4.95,TCS
2026-04-27,2447.6,2396.9,2459.0,2396.9,5.85M,2.12%,5850000.0,2.12,TCS
2026-04-28,2444.7,2444.0,2487.0,2427.4,4.51M,-0.12%,4510000.0,-0.12,TCS
2026-04-29,2465.0,2451.0,2487.5,2447.6,2.84M,0.83%,2840000.0,0.83,TCS
2026-03-30,1343.9,1335.0,1365.0,1334.1,24.39M,-0.31%,24390000.0,-0.31,RELIANCE
2026-04-01,1369.2,1384.2,1384.4,1362.9,14.40M,1.88%,14400000.0,1.88,RELIANCE
2026-04-02,1350.5,1357.0,1358.2,1328.0,21.28M,-1.37%,21280000.0,-1.37,RELIANCE
2026-04-06,1304.7,1359.0,1359.0,1290.0,29.27M,-3.39%,29270000.0,-3.39,RELIANCE
