Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker,SMA5,SMA10,SMA20,EMA5,EMA10,EMA20,Signal,Crossover
2026-03-30,2055.2,2064.0,2082.4,2046.2,2.48M,-0.93%,2480000.0,-0.93,HLL,,,,2055.2,2055.2,2055.2,0,
2026-04-01,2064.7,2119.9,2119.9,2052.0,2.03M,0.46%,2029999.9999999998,0.46,HLL,,,,2058.366666666667,2056.9272727272723,2056.1047619047617,1,1.0
2026-04-02,2065.3,2055.0,2069.9,2022.5,1.43M,0.03%,1430000.0,0.03,HLL,,,,2060.677777777778,2058.449586776859,2056.980498866213,1,0.0
2026-04-06,2084.8,2065.3,2092.8,2041.9,1.66M,0.94%,1660000.0,0.94,HLL,,,,2068.718518518519,2063.2405709992486,2059.629975164669,1,0.0
2026-04-07,2110.6,2064.7,2119.5,2050.8,2.71M,1.24%,2710000.0,1.24,HLL,2076.12,,,2082.6790123456794,2071.8513762721122,2064.484263244224,1,0.0
2026-04-08,2145.6,2130.0,2192.8,2130.0,3.79M,1.66%,3790000.0,1.66,HLL,2094.2,,,2103.6526748971196,2085.26021694991,2072.209571506679,1,0.0
2026-04-09,2133.2,2145.5,2162.9,2115.0,2.51M,-0.58%,2510000.0,-0.58,HLL,2107.9,,,2113.5017832647463,2093.9765411408353,2078.0181837441382,1,0.0
2026-04-10,2155.3,2133.2,2170.0,2121.4,2.14M,1.04%,2140000.0,1.04,HLL,2125.9,,,2127.434522176498,2105.1262609334103,2085.378356720887,1,0.0
2026-04-13,2127.2,2131.0,2140.7,2113.5,1.99M,-1.30%,1990000.0,-1.3,HLL,2134.38,,,2127.356348117665,2109.1396680364264,2089.361370366517,1,0.0
2026-04-15,2157.6,2140.9,2168.0,2140.9,1.55M,1.43%,1550000.0,1.43,HLL,2143.7799999999997,2109.95,,2137.437565411777,2117.950637484349,2095.8602874744674,1,0.0
2026-04-16,2139.1,2158.0,2163.7,2129.1,1.85M,-0.86%,1850000.0,-0.86,HLL,2142.4799999999996,2118.3399999999997,,2137.9917102745185,2121.795976123558,2099.978355334042,1,0.0
2026-04-17,2240.8,2142.0,2245.0,2133.0,4.88M,4.75%,4880000.0,4.75,HLL,2164.0,2135.95,,2172.2611401830127,2143.43307137382,2113.389940540324,1,0.0
2026-04-20,2231.5,2240.8,2253.4,2223.2,1.46M,-0.42%,1460000.0,-0.42,HLL,2179.2400000000002,2152.5699999999997,,2192.0074267886753,2159.4452402149436,2124.6385176317217,1,0.0
2026-04-21,2310.7,2238.7,2335.7,2227.2,3.22M,3.55%,3220000.0,3.55,HLL,2215.94,2175.16,,2231.571617859117,2186.9461056304085,2142.358658809653,1,0.0
2026-04-22,2368.8,2310.4,2408.0,2310.4,5.56M,2.51%,5560000.0,2.51,HLL,2258.18,2200.9800000000005,,2277.314411906078,2220.0104500612433,2163.9245008277817,1,0.0
