Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker,SMA5,SMA10,SMA20,EMA5,EMA10,EMA20,Signal,Crossover,Daily_Return,Volatility_5,Volatility_10,Volatility_20,Volatility_Annual
2026-03-30,2055.2,2064.0,2082.4,2046.2,2.48M,-0.93%,2480000.0,-0.93,HLL,,,,2055.2,2055.2,2055.2,0,,,,,,0.26979274181230073
2026-04-01,2064.7,2119.9,2119.9,2052.0,2.03M,0.46%,2029999.9999999998,0.46,HLL,,,,2058.366666666667,2056.9272727272723,2056.1047619047617,1,1.0,0.004622421175554781,,,,0.26979274181230073
2026-04-02,2065.3,2055.0,2069.9,2022.5,1.43M,0.03%,1430000.0,0.03,HLL,,,,2060.677777777778,2058.449586776859,2056.980498866213,1,0.0,0.00029059911851625486,,,,0.26979274181230073
2026-04-06,2084.8,2065.3,2092.8,2041.9,1.66M,0.94%,1660000.0,0.94,HLL,,,,2068.718518518519,2063.2405709992486,2059.629975164669,1,0.0,0.00944172759405415,,,,0.26979274181230073
2026-04-07,2110.6,2064.7,2119.5,2050.8,2.71M,1.24%,2710000.0,1.24,HLL,2076.12,,,2082.6790123456794,2071.8513762721122,2064.484263244224,1,0.0,0.01237528779739061,,,,0.26979274181230073
2026-04-08,2145.6,2130.0,2192.8,2130.0,3.79M,1.66%,3790000.0,1.66,HLL,2094.2,,,2103.6526748971196,2085.26021694991,2072.209571506679,1,0.0,0.016582962190846207,0.006394072868992719,,,0.26979274181230073
2026-04-09,2133.2,2145.5,2162.9,2115.0,2.51M,-0.58%,2510000.0,-0.58,HLL,2107.9,,,2113.5017832647463,2093.9765411408353,2078.0181837441382,1,0.0,-0.005779269202088044,0.00913977804919845,,,0.26979274181230073
2026-04-10,2155.3,2133.2,2170.0,2121.4,2.14M,1.04%,2140000.0,1.04,HLL,2125.9,,,2127.434522176498,2105.1262609334103,2085.378356720887,1,0.0,0.01036002250140644,0.008493379427059477,,,0.26979274181230073
2026-04-13,2127.2,2131.0,2140.7,2113.5,1.99M,-1.30%,1990000.0,-1.3,HLL,2134.38,,,2127.356348117665,2109.1396680364264,2089.361370366517,1,0.0,-0.013037628172412385,0.012794440920482346,,,0.26979274181230073
2026-04-15,2157.6,2140.9,2168.0,2140.9,1.55M,1.43%,1550000.0,1.43,HLL,2143.7799999999997,2109.95,,2137.437565411777,2117.950637484349,2095.8602874744674,1,0.0,0.014291086874764991,0.013128534061649034,,,0.26979274181230073
2026-04-16,2139.1,2158.0,2163.7,2129.1,1.85M,-0.86%,1850000.0,-0.86,HLL,2142.4799999999996,2118.3399999999997,,2137.9917102745185,2121.795976123558,2099.978355334042,1,0.0,-0.00857434186132744,0.012113655591824547,0.010341869248793826,,0.26979274181230073
2026-04-17,2240.8,2142.0,2245.0,2133.0,4.88M,4.75%,4880000.0,4.75,HLL,2164.0,2135.95,,2172.2611401830127,2143.43307137382,2113.389940540324,1,0.0,0.04754335935673892,0.023998528605950087,0.017221068401496363,,0.26979274181230073
2026-04-20,2231.5,2240.8,2253.4,2223.2,1.46M,-0.42%,1460000.0,-0.42,HLL,2179.2400000000002,2152.5699999999997,,2192.0074267886753,2159.4452402149436,2124.6385176317217,1,0.0,-0.00415030346304901,0.02482483614939815,0.017506864537193374,,0.26979274181230073
2026-04-21,2310.7,2238.7,2335.7,2227.2,3.22M,3.55%,3220000.0,3.55,HLL,2215.94,2175.16,,2231.571617859117,2186.9461056304085,2142.358658809653,1,0.0,0.0354918216446336,0.02441072016631605,0.01957665299439666,,0.26979274181230073
2026-04-22,2368.8,2310.4,2408.0,2310.4,5.56M,2.51%,5560000.0,2.51,HLL,2258.18,2200.9800000000005,,2277.314411906078,2220.0104500612433,2163.9245008277817,1,0.0,0.02514389578915499,0.024600257000280838,0.02012065908837779,,0.26979274181230073
2026-04-23,2366.4,2336.0,2400.0,2336.0,2.06M,-0.10%,2060000.0,-0.1,HLL,2303.64,2223.06,,2307.009607937385,2246.62673186829,2183.207881701326,1,0.0,-0.0010131712259372483,0.02262777384948767,0.020421814831173033,,0.26979274181230073
2026-04-24,2327.3,2388.6,2388.6,2299.0,1.68M,-1.65%,1680000.0,-1.65,HLL,2320.94,2242.4700000000003,,2313.773071958257,2261.294598801328,2196.9309405869144,1,0.0,-0.01652298850574707,0.021677965205965304,0.021594720138016936,,0.26979274181230073
2026-04-27,2328.3,2334.9,2362.8,2325.0,1.10M,0.04%,1100000.0,0.04,HLL,2340.3,2259.77,,2318.615381305505,2273.4773990192684,2209.4422795786368,1,0.0,0.0004296824646585762,0.02113732623421052,0.0217505989347222,,0.26979274181230073
2026-04-28,2289.5,2321.0,2334.4,2281.1,1.63M,-1.67%,1630000.0,-1.67,HLL,2336.06,2276.0,,2308.91025420367,2276.390599197583,2217.0668243806713,1,0.0,-0.016664519177082115,0.017097197239837575,0.02216591260135908,,0.26979274181230073
2026-04-29,2317.1,2305.0,2349.6,2291.0,1.78M,1.21%,1780000.0,1.21,HLL,2325.7200000000003,2291.95,2200.95,2311.640169469113,2283.792308434386,2226.593793487274,1,0.0,0.012055033850185692,0.012277354421565011,0.022102072373195225,,0.26979274181230073
2026-03-30,2358.9,2375.1,2398.0,2346.2,6.80M,-1.29%,6800000.0,-1.29,TCS,,,,2358.9,2358.9,2358.9,0,,,,,,0.3297819160007556
2026-04-01,2408.2,2429.0,2472.0,2397.9,4.13M,2.09%,4130000.0,2.09,TCS,,,,2375.3333333333335,2367.8636363636365,2363.595238095238,1,1.0,0.020899571834329445,,,,0.3297819160007556
2026-04-02,2450.7,2386.0,2469.9,2375.7,5.38M,1.76%,5380000.0,1.76,TCS,,,,2400.4555555555557,2382.92479338843,2371.8909297052155,1,0.0,0.01764803587741892,,,,0.3297819160007556
2026-04-06,2473.9,2474.0,2482.0,2448.2,2.57M,0.95%,2570000.0,0.95,TCS,,,,2424.9370370370375,2399.4657400450787,2381.6060792570997,1,0.0,0.009466682988533925,,,,0.3297819160007556
2026-04-07,2539.8,2461.0,2543.9,2448.0,4.52M,2.66%,4520000.0,2.66,TCS,2446.3,,,2463.224691358025,2424.9810600368824,2396.6721669469,1,0.0,0.0266381017826105,,,,0.3297819160007556
2026-04-08,2559.2,2572.0,2580.3,2540.1,4.77M,0.76%,4770000.0,0.76,TCS,2486.3599999999997,,,2495.2164609053502,2449.3845036665402,2412.151008190052,1,0.0,0.007638396724151342,0.007928463492805023,,,0.3297819160007556
2026-04-09,2589.0,2554.0,2605.0,2531.1,5.63M,1.16%,5630000.0,1.16,TCS,2522.5199999999995,,,2526.477640603567,2474.7691393635328,2428.9937693148086,1,0.0,0.011644263832447654,0.007709692040834541,,,0.3297819160007556
2026-04-10,2524.3,2565.8,2565.8,2501.1,10.48M,-2.50%,10480000.0,-2.5,TCS,2537.2400000000002,,,2525.7517604023783,2483.7747503883447,2438.0705531895887,1,0.0,-0.02499034376207021,0.018926575645959835,,,0.3297819160007556
2026-04-13,2472.6,2489.9,2504.9,2470.0,3.74M,-2.05%,3740000.0,-2.05,TCS,2536.98,,,2508.034506934919,2481.742977590464,2441.359071933437,1,0.0,-0.020480925405062855,0.0220650607820811,,,0.3297819160007556
2026-04-15,2554.9,2501.9,2559.0,2493.4,5.26M,3.33%,5260000.0,3.33,TCS,2540.0,2493.15,,2523.656337956613,2495.0442543921977,2452.172493654062,1,0.0,0.03328480142360268,0.024164676631552404,,,0.3297819160007556
2026-04-16,2576.9,2572.0,2594.0,2558.0,3.91M,0.86%,3910000.0,0.86,TCS,2543.54,2514.95,,2541.404225304409,2509.92711722998,2464.051303782246,1,0.0,0.008610904536381137,0.02423107180760394,0.01871099896540847,,0.3297819160007556
2026-04-17,2581.5,2570.0,2589.0,2555.9,2.72M,0.18%,2720000.0,0.18,TCS,2542.04,2532.28,,2554.7694835362727,2522.940368642711,2475.2368938982227,1,0.0,0.001785090612751672,0.02360379556136576,0.01833698873034264,,0.3297819160007556
2026-04-20,2579.6,2587.1,2594.0,2561.2,2.29M,-0.07%,2290000.0,-0.07,TCS,2553.1,2545.17,,2563.0463223575152,2533.2421197985814,2485.1762373364872,1,0.0,-0.0007360061979470034,0.019392635173788392,0.018084529554758203,,0.3297819160007556
